Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","BatteryHolder_ComfortableElectronic_CH273-2450_1x2450",304.470000,-175.965000,180.000000,bottom
"C1","100nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",332.400000,-118.437500,90.000000,bottom
"C2","100nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",296.062500,-94.010000,180.000000,bottom
"C4","100nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",85.090000,-135.807500,90.000000,bottom
"C5","470uF/10V","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",105.410000,-136.075000,90.000000,bottom
"C6","100nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",258.255000,-94.047500,-90.000000,bottom
"C7","470uF/10V","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",253.255000,-93.910000,-90.000000,bottom
"C8","10nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",254.436500,-186.136000,180.000000,bottom
"C9","220uF/25V","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",252.374000,-192.786000,0.000000,bottom
"C10","10nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",245.000000,-166.762500,-90.000000,bottom
"C11","220uF/25V","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",251.000000,-169.000000,-90.000000,bottom
"C13","10nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",231.800000,-173.837500,90.000000,bottom
"C14","100uF/10V","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",225.300000,-176.100000,90.000000,bottom
"C15","100nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",201.750000,-173.802500,90.000000,bottom
"C16","220uF/10V","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",207.750000,-175.815000,90.000000,bottom
"C17","10nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",204.824000,-188.285500,90.000000,bottom
"C18","100uF/10V","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",211.074000,-190.348000,90.000000,bottom
"C19","100nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",228.199000,-197.973000,0.000000,bottom
"C20","220uF/10V","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",229.596000,-190.582000,90.000000,bottom
"C22","100nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",116.840000,-135.807500,90.000000,bottom
"C23","470uF/10V","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",137.795000,-136.075000,90.000000,bottom
"C24","100nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",147.905000,-136.507500,90.000000,bottom
