Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",294.437500,-176.000000,0.000000,top
"C12","100nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",235.320000,-167.647500,-90.000000,top
"C21","100nF/50V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",187.960000,-183.857500,90.000000,top
"D1","LED","LED_D3.0mm_FlatTop",140.255000,-86.110000,90.000000,top
"D2","LED","LED_D3.0mm_FlatTop",208.255000,-85.650000,90.000000,top
"D3","LED","LED_D3.0mm_FlatTop",276.255000,-85.650000,90.000000,top
"D4","LED","LED_D3.0mm_FlatTop",138.255000,-107.650000,90.000000,top
"D5","LED","LED_D3.0mm_FlatTop",206.255000,-107.110000,90.000000,top
"D6","LED","LED_D3.0mm_FlatTop",274.255000,-107.110000,90.000000,top
"D7","LED","LED_D10.0mm",205.000000,-160.000000,0.000000,top
"D14","1N4148","D_PowerDI-123",182.245000,-183.895000,-90.000000,top
"Q3","FS8205A","TSSOP-8_3x3mm_P0.65mm",227.570000,-177.085000,180.000000,top
"Q4","2N2222","SOT-23",185.735000,-176.227500,90.000000,top
"R5","4K7","R_1206_3216Metric",298.381400,-192.660000,180.000000,top
"R6","4K7","R_1206_3216Metric",298.381400,-196.160000,180.000000,top
"R17","100","R_1206_3216Metric",240.570000,-167.835000,-90.000000,top
"R21","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",221.670000,-172.860000,-90.000000,top
"R22","1K2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",248.174000,-176.784000,0.000000,top
"R31","100","R_1206_3216Metric",191.770000,-176.337500,90.000000,top
"R32","10K","R_1206_3216Metric",192.405000,-183.957500,90.000000,top
"R33","1K8","R_1206_3216Metric",172.280000,-183.957500,90.000000,top
"R34","5K6","R_1206_3216Metric",176.530000,-183.957500,90.000000,top
"U5","~","FMY-12883",126.445000,-136.000000,0.000000,top
"U8","~","FMY-12883",158.445000,-136.000000,0.000000,top
"U9","~","FMY-12883",190.445000,-136.000000,0.000000,top
"U11","~","FMY-12883",222.490000,-136.000000,0.000000,top
"U12","SA15-11SRWA","FYS-12011A",90.255000,-95.110000,0.000000,top
"U13","SA15-11SRWA","FYS-12011A",119.255000,-95.110000,0.000000,top
"U14","SA15-11SRWA","FYS-12011A",158.255000,-95.110000,0.000000,top
"U15","SA15-11SRWA","FYS-12011A",187.255000,-95.110000,0.000000,top
"U17","SA15-11SRWA","FYS-12011A",226.255000,-95.110000,0.000000,top
"U18","SA15-11SRWA","FYS-12011A",255.255000,-95.110000,0.000000,top
"U19","SA15-11SRWA","FYS-12011A",294.255000,-95.110000,0.000000,top
"U20","SA15-11SRWA","FYS-12011A",323.255000,-95.110000,0.000000,top
"U22","DW01A","SOT-23-6",227.307500,-170.060000,0.000000,top
"U23","TP4056","TP4056-42-ESOP8_TPW",246.545000,-168.801100,90.000000,top
"U26","~","FMY-12883",94.445000,-136.000000,0.000000,top
"U28","~","FMY-12883",254.300000,-136.000000,0.000000,top
"U30","~","FMY-12883",286.380000,-136.000000,0.000000,top
"U32","~","FMY-12883",318.415000,-136.000000,0.000000,top
